,Annual Returns on Investments in,,,,,,,Annual Real Returns,,,,,,,
Year,S&P 500 (includes dividends),3-month T.Bill,US T. Bond (10-year), Baa Corporate Bond,Real Estate,Gold*,International,Inflation Rate,S&P 500 (includes dividends)2,3-month T. Bill (Real),!0-year T.Bonds,Baa Corp Bonds,Real Estate3,Gold,International
1992,0.0749,0.0343,0.0936,0.1131,0.0082,-0.0573,-0.1185,0.0297,0.044,0.0045,0.0621,0.081,-0.0209,-0.0845,-0.1482
1993,0.0997,0.03,0.1421,0.1547,0.0216,0.1768,0.3294,0.0281,0.0696,0.0018,0.1109,0.1232,-0.0064,0.1446,0.3013
1994,0.0133,0.0425,-0.0804,-0.0097,0.0252,-0.0217,0.0806,0.026,-0.0124,0.0161,-0.1036,-0.0348,-0.0008,-0.0465,0.0546
1995,0.372,0.0549,0.2348,0.2129,0.0179,0.0098,0.1155,0.0253,0.3381,0.0288,0.2043,0.1829,-0.0072,-0.0151,0.0902
1996,0.2268,0.0501,0.0143,0.0342,0.0243,-0.0459,0.0636,0.0338,0.1867,0.0157,-0.0189,0.0004,-0.0092,-0.0771,0.0298
1997,0.331,0.0506,0.0994,0.1275,0.0402,-0.2141,0.0206,0.017,0.3088,0.0331,0.081,0.1087,0.0229,-0.2272,0.0036
1998,0.2834,0.0478,0.1492,0.0763,0.0644,-0.0083,0.2033,0.0161,0.2631,0.0312,0.131,0.0593,0.0476,-0.024,0.1872
1999,0.2089,0.0464,-0.0825,0.0091,0.0768,0.0085,0.273,0.0268,0.1773,0.0191,-0.1065,-0.0172,0.0487,-0.0178,0.2462
2000,-0.0903,0.0582,0.1666,0.0939,0.0929,-0.0544,-0.1396,0.0344,-0.1205,0.023,0.1278,0.0575,0.0566,-0.0858,-0.174
2001,-0.1185,0.034,0.0557,0.0854,0.0668,0.0075,-0.2121,0.016,-0.1324,0.0177,0.0391,0.0683,0.0499,-0.0084,-0.2281
2002,-0.2197,0.0161,0.1512,0.1214,0.0956,0.2557,-0.1566,0.0248,-0.2385,-0.0085,0.1233,0.0943,0.0691,0.2253,-0.1814
2003,0.2836,0.0101,0.0038,0.1232,0.0981,0.1989,0.3917,0.0204,0.258,-0.0101,-0.0163,0.1008,0.0762,0.175,0.3713
2004,0.1074,0.0137,0.0449,0.1035,0.1364,0.0465,0.207,0.0334,0.0716,-0.019,0.0111,0.0678,0.0996,0.0126,0.1736
2005,0.0483,0.0315,0.0287,0.053,0.1351,0.1777,0.1402,0.0334,0.0145,-0.0018,-0.0046,0.019,0.0984,0.1396,0.1068
2006,0.1561,0.0473,0.0196,0.052,0.0173,0.232,0.2686,0.0252,0.1277,0.0215,-0.0055,0.0261,-0.0077,0.2016,0.2434
2007,0.0548,0.0436,0.1021,0.0484,-0.054,0.3192,0.1163,0.0411,0.0132,0.0024,0.0586,0.0071,-0.0913,0.2672,0.0752
2008,-0.3655,0.0137,0.201,-0.0354,-0.12,0.0432,-0.4306,-0.0002,-0.3654,0.0139,0.2013,-0.0352,-0.1198,0.0434,-0.4304
2009,0.2594,0.0015,-0.1112,0.2021,-0.0386,0.2504,0.3246,0.0281,0.2249,-0.0259,-0.1355,0.1692,-0.0649,0.2161,0.2965
2010,0.1482,0.0014,0.0846,0.0941,-0.0411,0.2924,0.0821,0.0144,0.1319,-0.0128,0.0693,0.0786,-0.0547,0.2741,0.0677
2011,0.021,0.0005,0.1604,0.1226,-0.0389,0.1202,-0.1173,0.0306,-0.0094,-0.0292,0.1259,0.0893,-0.0674,0.087,-0.1479
2012,0.1589,0.0009,0.0297,0.0933,0.0644,0.0568,0.179,0.0176,0.1389,-0.0164,0.0119,0.0744,0.046,0.0386,0.1614
2013,0.3215,0.0006,-0.091,-0.0098,0.1071,-0.2761,0.2329,0.0151,0.3018,-0.0143,-0.1046,-0.0246,0.0906,-0.2869,0.2178
2014,0.1352,0.0003,0.1075,0.1078,0.0451,0.0012,-0.0448,0.0065,0.1279,-0.0062,0.1003,0.1006,0.0383,-0.0053,-0.0513
2015,0.0138,0.0005,0.0128,-0.015,0.052,-0.1211,-0.0039,0.0064,0.0074,-0.0058,0.0064,-0.0213,0.0453,-0.1266,-0.0103
2016,0.1177,0.0032,0.0069,0.1152,0.053,0.081,0.0151,0.0205,0.0953,-0.017,-0.0133,0.0928,0.0319,0.0593,-0.0054
2017,0.2161,0.0093,0.028,0.0923,0.0621,0.1266,0.2562,0.0213,0.1907,-0.0117,0.0066,0.0696,0.0399,0.1031,0.2349
2018,-0.0423,0.0194,-0.0002,-0.0327,0.0452,-0.0093,-0.1336,0.02,-0.0611,-0.0006,-0.0198,-0.0517,0.0247,-0.0287,-0.1536
2019,0.3121,0.0206,0.0964,0.1525,0.0369,0.1908,0.2266,0.0231,0.2824,-0.0025,0.0716,0.1264,0.0134,0.1638,0.2035
2020,0.1802,0.0035,0.1133,0.106,0.1043,0.2417,0.0828,0.0132,0.1648,-0.0095,0.0988,0.0916,0.0899,0.2255,0.0696
2021,0.2847,0.0005,-0.0442,0.0093,0.1887,-0.0375,0.1178,0.0719,0.1985,-0.0667,-0.1083,-0.0584,0.109,-0.1021,0.0459
2022,-0.1804,0.0202,-0.1783,-0.1514,0.0567,0.0055,-0.1401,0.0644,-0.23,-0.0415,-0.228,-0.2028,-0.0073,-0.0554,-0.2045
2023,0.2606,0.0507,0.0388,0.0874,0.0629,0.1326,0.1885,0.0312,0.2225,0.0189,0.0074,0.0545,0.0308,0.0984,0.1573
2024,0.2488,0.0497,-0.164,0.0174,0.0424,0.2596,0.0435,0.0275,0.2154,0.0216,-0.0427,-0.0099,0.0145,0.2259,0.016
